Date,heading,detail,reference,Themes,type
2022-02-24,New Zealand moves to Phase Three of Omicron plan,"COVID-19 Response Minister Chris Hipkins confirms that at 11:59 pm New Zealand will move to Phase Three of the Omicron response plan. There are 6137 new community cases reported and 205 cases in hospital. Phase Three requires only confirmed cases and their household contacts to isolate. All other contacts will be asked to monitor for symptoms but will not have to isolate. Rapid antigen tests (RATs) will become the primary means of testing, will be available from thousands of sites and will now be included in the total number of cases reported. Millions more tests are expected to arrive over the coming days.","(New Zealand Government, 2022j; RNZ, 2022i)",Traffic light,Traffic light
2022-02-22,Questions raised over whether COVID-19 regulations are still ‘demonstrably justified’ under NZBORA,"In an opinion piece in the New Zealand Herald, Lady Deborah Chambers, QC, states that limiting New Zealanders’ right to freedom of movement and right to enter and leave New Zealand, which are protected under s 18 of the New Zealand Bill of Rights Act (1990) (NZBORA), no longer ‘demonstrably justified’ now that Omicron is widespread in the community. On 25 February 2022, the High Court judgement on Yardley v Minister of Workplace Relations and Safety upheld that the vaccine mandate order was unlawful as it unjustifiably restricted the rights of people to refuse medical treatment and to manifest their religious beliefs, as codified in ss 11 and 15 of NZBORA. This decision was made while Omicron was widespread in the community. The decision in Yardley contrasts with the decision in Four Aviation Security Service Employees v Minister of COVID-19 Response [2021], which held that the vaccine mandate was a justified limit on the right to refuse medical treatment; this decision was made before Delta and Omicron were present in the community.","(Browne, 2022; Chambers, 2022; Four Aviation Security Service Employees v Minister of COVID-19 Response [2021]; Yardley v Minister of Workplace Relations and Safety [2022])",Governance,Governance
2022-02-22,Reports show testing capability doesn’t meet expectations,"The Ministry of Health states that there is high demand at COVID-19 testing sites, resulting in long waits. In early January the Ministry stated that testing capacity was 40,000 a day and would increase to 60,000 in February. In February, the Ministry states that at least 58,000 tests can be processed per day; however, testing averages show 22,777 tests per day – 40% of the base capacity claimed by the Ministry.","(NZ Herald, 2022d)",Testing,Testing
2022-02-21,Government announces new financial support for businesses affected by Omicron,"A new targeted COVID-19 Support Payment (CPS) will be made available for businesses struggling with revenue during the Omicron outbreak. Three fortnightly COVID-19 Support Payments (CSP) will be available. Applications for the first payment are open for the period beginning 16 February 2022 and ending 4 April 2022. The CSP is available to businesses that have experienced a drop in revenue of 40% or more as a result of COVID-19 impacts, such as the prevalence of community cases, public health measures, staff self-isolating and/or supply chain issues. The CPS is not available to businesses that are able to operate under the Red setting of the COVID Protection Framework, but have chosen to close temporarily without taking all reasonably practical steps to minimise their revenue losses; nor is it available to businesses affected as a result of border restrictions or global supply chain issues. Each CPS will consist of $4000 per business plus $400 per full-time employee (capped at 50 employees or $24,000). ","(IRD, 2022; Robertson & Parker, 2022; Small, 2022)",Financial support,Financial support
2022-02-20,Cases in the community reach over 2000,"There are 2522 new community cases reported. 20 February 2022 marks one year since the vaccination rollout began, with the vaccination of MIQ and border workers. There have been 3,951,572 second doses administered (95% of the eligible population) and 2,107,058 booster doses (65% of the eligible population). ","(MIQ, 2021b; MOH, 2022d; New Zealand Government, 2022i)",Community outbreak,Outbreak
2022-02-17,Hospitals affected by COVID-19 cases ,Six staff members and six patients at Starship Children’s Hospital test positive for COVID-19. The cases are likely to be linked to a positive case on one of the Starship wards reported the previous week. Director-General of Health Ashley Bloomfield reveals that 10% of patients seeking treatment at Middlemore Hospital's emergency department returned a positive rapid antigen test result on 15 February 2022. ,"(1News, 2022b; NZ Herald, 2022c)",Health Care Services,Health care
2022-02-16,Daily cases in the community pass 1000,"On 16 February 2022, 1160 new community cases are reported. This is the first time new community cases have surpassed 1000. One week prior, on 9 February, there were 204 new community cases. ","(New Zealand Government, 2022g; 2022h)",Community outbreak,Outbreak
2022-02-16,New Zealand moves to Phase Two of Omicron plan,"On 14 February 2022, after 981 new community cases are reported, Prime Minister Jacinda Ardern announced that from 11:59 pm on 16 February 2022 New Zealand will move to Phase Two of the Omicron plan. Under Phase Two the period of self-isolation for people who test positive for COVID-19, and household contacts, reduces from 14 days to 10 days. The period of self-isolation for close contacts is reduced from 10 to seven days. Changes also apply to MIQ isolation periods; those who are eligible to travel into New Zealand from Australia from 27 February will only be required to isolate for seven days. Additionally, a close contact exemption scheme begins at Phase Two, meaning asymptomatic, vaccinated close contacts can keep going to work instead of isolating if they return a daily negative rapid antigen test.","(New Zealand Government, 2022e; 2022f)",Traffic light,Traffic light
2022-02-15,‘Convoy 2022’ protest continues into second week,"Anti-vaccine mandate protesters continue to camp in Parliament grounds into a second week, with reports of 1,000 protesters present. Police Commissioner Andrew Coster says the protest is no longer tenable. On 15 February 2022, protesters are told to clear the roads or their vehicles will be towed; however, police take no action. Just one of the 180 parking tickets previously issued is paid, and 40 vehicles have moved to free parking offered at Sky Stadium. Victoria University’s Pipitea campus is locked down as a result of protesters camping on the lawn and reports of intimidation and abuse. The central bus terminal is closed. A letter to Cabinet from various groups within the protest states, ‘Until the end of the mandates, participants are determined to maintain their presence.’ On 16 February, ACT leader David Seymour meets with some protesters, saying it is ‘time for dialogue’; this is condemned by Prime Minister Jacinda Ardern and National Party leader Christopher Luxon. On 16 February four army vehicles travel to Wellington to be pre-positioned but no decisions are made about their use. On 17 February 450 vehicles remain blocking streets surrounding Parliament. The Department of the Prime Minister and Cabinet states the National Security Group is holding a National Security System meeting with a group of chief executives to discuss the protest, but police remain in control of the response to the protest.","(1News, 2022a; RNZ, 2022f; 2022g; 2022h)",Governance,Governance
2022-02-12,Reports that Ministry of Health provided misleading vaccine graph,"At a press conference on 17 March 2021, COVID-19 Response Minister Chris Hipkins presented a graph illustrating volumes and timing of the vaccination rollout. The graph outlined the number of doses to be given each week and the dates on which different groups of people would get them. Multiple media organisations, including Stuff, requested the data behind the graph and it was later revealed that the graph was created from a non-existent data set and suggested that there were to be 2.7 million more second doses given than first doses. In December 2021, the Ombudsman’s office held that the Ministry of Health acted unreasonably in denying Official Information Act requests from media organisations regarding information about the data. On 12 February 2022, reports state that the Ministry of Health have released a retroactively created data set. ","(Rodrigues, 2022)",Governance,Governance
2022-02-10,Close contact exemption scheme established,"COVID-19 Response Minister Chris Hipkins and Associate Minister of Health Dr Ayesha Verrall announce a Close Contact Exemption Scheme (CCES) to help keep critical supply chains running though the Omicron outbreak. During Phases Two and Three of the Omicron response, vaccinated workers at registered critical services who are asymptomatic close contacts of a COVID-19 case will be able to continue to work, as long as they return a negative rapid antigen test (RAT) before each day/shift during the isolation period. Critical services include food production and its supply chain, key public services like health and emergency services, lifeline utilities such as power and water supplies, transport, critical financial services, news media and social welfare, and human and animal health and welfare. If at any point the worker returns a positive RAT, they will need to take a PCR test and isolate. Workers will be expected to remain in isolation outside of work hours. Businesses and organisations can register online as a critical service and must meet the criteria outlined. Workers participating in the scheme will have access to free RATs. In addition, any business or sole trader may have a worker who is a close contact on-site if they are not customer-facing and can maintain a ‘bubble of one’ while at work (including travel to and from work). They are not required to use RATs, and businesses do not need to register the bubble of one. At work, the worker must: wear a mask at all times; work in a space with no others present; travel solo, to, from and around work or between; eat alone in a well-ventilated space; use a dedicated bathroom; ensure that if symptoms develop at any stage, they follow the public advice for close contacts; and continue participating in regular workplace surveillance testing. At home, the worker must self-isolate as per usual for close contacts. ","(Hipkins & Verrall, 2022; MBIE, n.d.)",Governance,Governance
2022-02-08,First week of ‘Convoy 2022’ protest begins,"On 6 February 2022, convoys of vehicles began travelling from Bluff and Cape Reinga to Parliament grounds, with other vehicles joining throughout the journey, for a protest beginning on 8 February 2022. Thousands of people attend the protest over its duration. The predominant matter protested is the vaccine mandates and related COVID-19 policies. The overarching theme of the protest is ‘freedom’, which is written and displayed on many of the vehicles. Other topics protested by the group include (but are not limited to): Bill of Rights; censorship; Three Waters; freedom of choice; and Māori rights. Protesters camp on Parliament’s grounds and park their vehicles in streets surrounding Parliament, completely obstructing traffic access to Molesworth Street. Police have moved to a ‘state of enforcement action’ and stated the scale of the occupation at Parliament is unprecedented and officers from around the country are called to assist in Wellington with managing the protest. As a result of the protest, temporary closures occur for: nearby businesses and offices, the National Library and Victoria University Pipitea campus; Retail NZ said retail sales are down 70% in the Wellington CBD as a result of the protest and there are reports of staff being verbally abused. On 10 February 2022 (the third day of protest), there is tension between protestors and police, 122 arrests are made for trespass and/or obstruction, pepper spray is deployed twice on protesters and two police officers are assaulted. Children are present at the protest and are put between adult protestors and Police. On 11 February 2022 (the fourth day of protest), parking tickets begin to be distributed to illegally parked vehicles. On 14 February 2022, Prime Minister Jacinda Ardern reject protesters' request for a meeting, pointing out some carried signs calling for the death of politicians; no other MPs speak to protesters. On 14 February 2022: protestors are offered free parking at Sky Stadium and; those previously arrested fail to appear for their first hearing in the District Court.","(Frame, 2022; McConnell, 2022; RNZ, 2022c; 2022d; 2022e; 2022g; Searle, 2022; WCC, 2022)",Governance,Governance
2022-02-07,COVID-19 enter school communities across New Zealand,"On 7 February 2022, 188 new community cases of COVID-19 are identified, the seven-day rolling average of community cases is 170, and 14 cases are in hospital. Within the week, schools in Hamilton, Havelock North, Auckland, Dunedin, Wellington and Martinborough report cases of students and staff contracting COVID-19.","(Johnston, 20222; MOH, 2022; ODT, 2022)",Community outbreak,Outbreak
2022-02-04,Canterbury University announces updated vaccine requirements,"From 21 February 2022, all staff, students and visitors will be required to be fully vaccinated to enter University campuses. Canterbury previously had a more moderate vaccine policy than all other universities. The decision to implement the mandate was made after a risk assessment and consultation with staff and students; 83% of staff and 73% of student respondents supported the proposed policy.","(UC, 2021; 2022)",Vaccination,Vaccination
