class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date,date_last_updated
Social,Social capital,Institutional trust: police,By gender,Female_upper,2018,          84.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male,2021,          80.200000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female,2021,          80.000000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_lower,2021,          77.600000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female_lower,2021,          77.800000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By gender,Male_upper,2021,          82.900000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By gender,Female_upper,2021,          82.100000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European,2014,          82.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori,2014,          63.200000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples,2014,          67.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian,2014,          80.400000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_lower,2014,          80.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_lower,2014,          59.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_lower,2014,          61.200000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_lower,2014,          75.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_upper,2014,          83.200000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_upper,2014,          67.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_upper,2014,          73.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_upper,2014,          84.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European,2016,          83.000000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori,2016,          63.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples,2016,          67.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian,2016,          80.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_lower,2016,          81.800000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_lower,2016,          59.300000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_lower,2016,          62.800000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_lower,2016,          76.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_upper,2016,          84.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_upper,2016,          66.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_upper,2016,          73.000000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_upper,2016,          83.300000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European,2018,          84.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori,2018,          63.800000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples,2018,          71.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian,2018,          83.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_lower,2018,          83.100000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_lower,2018,          60.700000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_lower,2018,          67.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_lower,2018,          81.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_upper,2018,          85.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_upper,2018,          66.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_upper,2018,          76.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_upper,2018,          86.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European,2021,          83.000000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori,2021,          59.700000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples,2021,          72.100000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian,2021,          83.500000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_lower,2021,          81.100000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_lower,2021,          54.300000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_lower,2021,          65.500000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_lower,2021,          79.400000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,European_upper,2021,          84.800000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Māori_upper,2021,          65.100000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Pacific peoples_upper,2021,          78.700000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By ethnic group,Asian_upper,2021,          87.700000,Percent,2021,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland,2014,          71.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland,2014,          78.500000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato,2014,          78.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty,2014,          82.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay,2014,          77.400000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki,2014,          81.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui,2014,          79.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington,2014,          81.500000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast,2014,          78.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury,2014,          79.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago,2014,          82.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland,2014,          78.400000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland_lower,2014,          66.600000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland_lower,2014,          75.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato_lower,2014,          75.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty_lower,2014,          78.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay_lower,2014,          71.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki_lower,2014,          76.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui_lower,2014,          74.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington_lower,2014,          78.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast_lower,2014,          72.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury_lower,2014,          77.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago_lower,2014,          78.600000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland_lower,2014,          72.600000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland_upper,2014,          76.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland_upper,2014,          81.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato_upper,2014,          82.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty_upper,2014,          85.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay_upper,2014,          82.900000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki_upper,2014,          86.000000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui_upper,2014,          83.700000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington_upper,2014,          84.100000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast_upper,2014,          83.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury_upper,2014,          82.300000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago_upper,2014,          86.800000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland_upper,2014,          84.200000,Percent,2014,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland,2016,          74.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland,2016,          79.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato,2016,          81.700000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty,2016,          78.800000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay,2016,          72.300000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki,2016,          74.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui,2016,          76.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington,2016,          81.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast,2016,          82.400000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury,2016,          82.000000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago,2016,          82.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland,2016,          73.700000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland_lower,2016,          67.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland_lower,2016,          77.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato_lower,2016,          78.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty_lower,2016,          73.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay_lower,2016,          65.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki_lower,2016,          66.800000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui_lower,2016,          72.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington_lower,2016,          78.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast_lower,2016,          77.300000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury_lower,2016,          78.900000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago_lower,2016,          78.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland_lower,2016,          66.800000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland_upper,2016,          81.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland_upper,2016,          81.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato_upper,2016,          84.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty_upper,2016,          83.700000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay_upper,2016,          78.700000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki_upper,2016,          81.400000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui_upper,2016,          80.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington_upper,2016,          85.700000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast_upper,2016,          87.500000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury_upper,2016,          85.100000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago_upper,2016,          86.200000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland_upper,2016,          80.600000,Percent,2016,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland,2018,          71.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland,2018,          80.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato,2018,          82.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty,2018,          79.800000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay,2018,          78.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki,2018,          72.000000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui,2018,          79.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington,2018,          83.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast,2018,          81.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury,2018,          86.200000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago,2018,          86.000000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland,2018,          80.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland_lower,2018,          65.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland_lower,2018,          78.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato_lower,2018,          79.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty_lower,2018,          75.500000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay_lower,2018,          74.000000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki_lower,2018,          64.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui_lower,2018,          74.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington_lower,2018,          80.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast_lower,2018,          77.300000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury_lower,2018,          83.700000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago_lower,2018,          82.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland_lower,2018,          72.200000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Northland_upper,2018,          76.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Auckland_upper,2018,          82.200000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Waikato_upper,2018,          85.400000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Bay of Plenty_upper,2018,          84.100000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Gisborne/Hawke's Bay_upper,2018,          83.000000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Taranaki_upper,2018,          79.100000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Manawatū-Whanganui_upper,2018,          83.700000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Wellington_upper,2018,          86.200000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Nelson/Tasman/Marlborough/West Coast_upper,2018,          85.900000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Canterbury_upper,2018,          88.700000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Otago_upper,2018,          89.600000,Percent,2018,29-07-22
Social,Social capital,Institutional trust: police,By region,Southland_upper,2018,          89.000000,Percent,2018,29-07-22
